No,Stockcode,Description,Quantite,PU,Ville,date,heure,month,dow,PT,Continent,clusters
568198,21731,RED TOADSTOOL LED NIGHT LIGHT,6,1.65,United Kingdom,2011-09-25,14,9,6,9.899999999999999,Europe,3
553767,21743,STAR PORTABLE TABLE LIGHT ,1,5.79,United Kingdom,2011-05-19,10,5,3,5.79,Europe,1
578942,23359,SET OF 12 T-LIGHTS VINTAGE DOILY,1,1.95,United Kingdom,2011-11-27,13,11,6,1.95,Europe,3
563935,22470,HEART OF WICKER LARGE,1,2.95,United Kingdom,2011-08-21,16,8,6,2.95,Europe,3
557500,21986,PACK OF 12 PINK POLKADOT TISSUES,2,0.83,United Kingdom,2011-06-20,15,6,0,1.66,Europe,1
545830,22428,ENAMEL FIRE BUCKET CREAM,2,6.95,United Kingdom,2011-03-07,13,3,0,13.9,Europe,1
538349,22435,SET OF 9 HEART SHAPED BALLOONS,1,2.51,United Kingdom,2010-12-10,14,12,4,2.51,Europe,0
567211,21791,VINTAGE HEADS AND TAILS CARD GAME ,2,1.25,United Kingdom,2011-09-19,11,9,0,2.5,Europe,2
539437,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,2,2.51,United Kingdom,2010-12-17,14,12,4,5.02,Europe,0
544323,35915B,BLUE KNITTED HEN ,1,0.83,United Kingdom,2011-02-17,15,2,3,0.83,Europe,1
548289,22487,WHITE WOOD GARDEN PLANT LADDER,2,9.95,United Kingdom,2011-03-30,11,3,2,19.9,Europe,1
567374,23344,JUMBO BAG 50'S CHRISTMAS ,100,1.79,United Kingdom,2011-09-20,9,9,1,179.0,Europe,2
581492,20665,RED RETROSPOT PURSE ,2,5.79,United Kingdom,2011-12-09,10,12,4,11.58,Europe,0
546486,21564,PINK  HEART SHAPE LOVE BUCKET ,1,2.95,United Kingdom,2011-03-14,11,3,0,2.95,Europe,1
544309,22668,PINK BABY BUNTING,5,2.95,United Kingdom,2011-02-17,14,2,3,14.75,Europe,1
538511,22747,POPPY'S PLAYHOUSE BATHROOM,1,2.1,United Kingdom,2010-12-12,13,12,6,2.1,Europe,3
543354,21174,POTTERING IN THE SHED METAL SIGN,12,2.08,United Kingdom,2011-02-07,13,2,0,24.96,Europe,1
568690,82483,WOOD 2 DRAWER CABINET WHITE FINISH,8,6.95,United Kingdom,2011-09-28,14,9,2,55.6,Europe,2
554835,21530,DAIRY MAID TOASTRACK,18,0.79,United Kingdom,2011-05-26,16,5,3,14.22,Europe,1
570420,22742,MAKE YOUR OWN PLAYTIME CARD KIT,1,2.95,United Kingdom,2011-10-10,13,10,0,2.95,Europe,2
553535,22729,ALARM CLOCK BAKELIKE ORANGE,4,3.75,EIRE,2011-05-17,15,5,1,15.0,Europe,1
572742,22834,HAND WARMER BABUSHKA DESIGN,12,2.1,United Kingdom,2011-10-25,15,10,1,25.200000000000003,Europe,2
569893,23206,LUNCH BAG APPLE DESIGN,10,1.65,Germany,2011-10-06,15,10,3,16.5,Europe,0
561651,22900,SET 2 TEA TOWELS I LOVE LONDON ,1,6.63,United Kingdom,2011-07-28,15,7,3,6.63,Europe,3
548715,21385,IVORY HANGING DECORATION  HEART,4,0.85,United Kingdom,2011-04-03,15,4,6,3.4,Europe,3
547389,22784,LANTERN CREAM GAZEBO ,2,4.95,United Kingdom,2011-03-22,16,3,1,9.9,Europe,1
558702,23284,DOORMAT KEEP CALM AND COME IN,1,7.95,United Kingdom,2011-07-01,12,7,4,7.95,Europe,3
538652,21393,BLUE POLKADOT PUDDING BOWL,6,2.1,United Kingdom,2010-12-13,15,12,0,12.600000000000001,Europe,2
578827,21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,1,1.63,United Kingdom,2011-11-25,14,11,4,1.63,Europe,0
568048,23171,REGENCY TEA PLATE GREEN ,12,1.65,EIRE,2011-09-23,12,9,4,19.799999999999997,Europe,0
573145,82482,WOODEN PICTURE FRAME WHITE FINISH,12,2.95,United Kingdom,2011-10-27,18,10,3,35.400000000000006,Europe,0
579508,21733,RED HANGING HEART T-LIGHT HOLDER,1,5.79,United Kingdom,2011-11-29,16,11,1,5.79,Europe,2
549982,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,0.85,United Kingdom,2011-04-13,15,4,2,8.5,Europe,1
574967,22688,DOORMAT PEACE ON EARTH BLUE,1,16.63,United Kingdom,2011-11-08,10,11,1,16.63,Europe,2
576837,22992,REVOLVER WOODEN RULER ,1,4.13,United Kingdom,2011-11-16,15,11,2,4.13,Europe,2
569898,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,4.13,United Kingdom,2011-10-06,16,10,3,4.13,Europe,0
540168,20966,SANDWICH BATH SPONGE,3,1.25,United Kingdom,2011-01-05,12,1,2,3.75,Europe,1
577633,22191,IVORY DINER WALL CLOCK,2,8.5,United Kingdom,2011-11-21,10,11,0,17.0,Europe,2
C540250,22941,CHRISTMAS LIGHTS 10 REINDEER,-1,8.5,United Kingdom,2011-01-05,16,1,2,-8.5,Europe,1
562024,23309,SET OF 60 I LOVE LONDON CAKE CASES ,3,1.25,United Kingdom,2011-08-01,16,8,0,3.75,Europe,2
548164,21179,NO JUNK MAIL METAL SIGN,1,3.29,United Kingdom,2011-03-29,13,3,1,3.29,Europe,1
564536,21754,HOME BUILDING BLOCK WORD,2,5.95,United Kingdom,2011-08-25,15,8,3,11.9,Europe,0
557502,22371,AIRLINE BAG VINTAGE TOKYO 78,1,8.29,United Kingdom,2011-06-20,15,6,0,8.29,Europe,1
578787,21479,WHITE SKULL HOT WATER BOTTLE ,4,4.25,United Kingdom,2011-11-25,12,11,4,17.0,Europe,0
541999,21931,JUMBO STORAGE BAG SUKI,1,4.13,United Kingdom,2011-01-25,10,1,1,4.13,Europe,1
553691,21988,PACK OF 6 SKULL PAPER PLATES,2,0.85,United Kingdom,2011-05-18,14,5,2,1.7,Europe,1
564657,21206,STRAWBERRY HONEYCOMB  GARLAND ,48,1.45,United Kingdom,2011-08-26,14,8,4,69.6,Europe,3
578816,22632,HAND WARMER RED RETROSPOT,60,2.1,United Kingdom,2011-11-25,13,11,4,126.0,Europe,0
C553512,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,-1,9.95,United Kingdom,2011-05-17,13,5,1,-9.95,Europe,1
559809,84997B,CHILDRENS CUTLERY RETROSPOT RED ,1,4.15,United Kingdom,2011-07-12,14,7,1,4.15,Europe,2
568491,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,3,2.95,United Kingdom,2011-09-27,11,9,1,8.850000000000001,Europe,2
568104,22430,ENAMEL WATERING CAN CREAM,2,4.95,United Kingdom,2011-09-23,15,9,4,9.9,Europe,0
537224,22500,SET OF 2 TINS JARDIN DE PROVENCE,2,4.95,United Kingdom,2010-12-05,16,12,6,9.9,Europe,3
559923,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,2,3.29,United Kingdom,2011-07-13,16,7,2,6.58,Europe,2
560711,20733,GOLD MINI TAPE MEASURE ,1,0.85,United Kingdom,2011-07-20,12,7,2,0.85,Europe,2
556474,85099B,JUMBO BAG RED RETROSPOT,1,2.08,United Kingdom,2011-06-12,12,6,6,2.08,Europe,3
573585,21577,SAVE THE PLANET COTTON TOTE BAG,2,4.96,United Kingdom,2011-10-31,14,10,0,9.92,Europe,2
553387,22432,WATERING CAN PINK BUNNY,1,4.13,United Kingdom,2011-05-16,16,5,0,4.13,Europe,1
580612,21930,JUMBO STORAGE BAG SKULLS,1,4.13,United Kingdom,2011-12-05,11,12,0,4.13,Europe,2
569220,23404,HOME SWEET HOME BLACKBOARD,2,4.95,United Kingdom,2011-10-02,13,10,6,9.9,Europe,3
540383,47590B,PINK HAPPY BIRTHDAY BUNTING,50,4.65,United Kingdom,2011-01-06,17,1,3,232.50000000000003,Europe,3
557975,23200,JUMBO BAG PEARS,20,2.08,United Kingdom,2011-06-24,10,6,4,41.6,Europe,3
548162,21424,WOODLAND STORAGE BOX LARGE ,5,6.63,United Kingdom,2011-03-29,13,3,1,33.15,Europe,1
558370,22152,PLACE SETTING WHITE STAR,7,0.42,United Kingdom,2011-06-28,15,6,1,2.94,Europe,1
574654,70006,LOVE HEART POCKET WARMER,2,1.65,United Kingdom,2011-11-06,11,11,6,3.3,Europe,3
573130,23234,BISCUIT TIN VINTAGE CHRISTMAS,4,2.89,United Kingdom,2011-10-27,16,10,3,11.56,Europe,0
580727,21916,SET 12 RETRO WHITE CHALK STICKS,4,0.83,United Kingdom,2011-12-05,17,12,0,3.32,Europe,2
568690,21670,BLUE SPOT CERAMIC DRAWER KNOB,2,1.45,United Kingdom,2011-09-28,14,9,2,2.9,Europe,2
560500,21136,PAINTED METAL PEARS ASSORTED,16,1.69,United Kingdom,2011-07-19,11,7,1,27.04,Europe,2
554511,22906,12 MESSAGE CARDS WITH ENVELOPES,1,3.29,United Kingdom,2011-05-24,15,5,1,3.29,Europe,1
578255,21238,RED RETROSPOT CUP,4,0.85,United Kingdom,2011-11-23,12,11,2,3.4,Europe,2
553542,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1,10.79,United Kingdom,2011-05-17,15,5,1,10.79,Europe,1
555383,21232,STRAWBERRY CERAMIC TRINKET BOX,4,1.25,Germany,2011-06-02,15,6,3,5.0,Europe,3
579491,22457,NATURAL SLATE HEART CHALKBOARD ,3,2.95,United Kingdom,2011-11-29,15,11,1,8.850000000000001,Europe,2
545059,85049H,URBAN BLACK RIBBONS ,1,1.25,United Kingdom,2011-02-27,13,2,6,1.25,Europe,3
577507,21591,COSY HOUR CIGAR BOX MATCHES ,2,1.25,United Kingdom,2011-11-20,12,11,6,2.5,Europe,3
555845,22046,TEA PARTY  WRAPPING PAPER ,25,0.42,United Kingdom,2011-06-07,13,6,1,10.5,Europe,1
564221,23199,JUMBO BAG APPLES,31,4.13,United Kingdom,2011-08-24,9,8,2,128.03,Europe,2
573320,22467,GUMBALL COAT RACK,12,2.55,United Kingdom,2011-10-30,10,10,6,30.599999999999998,Europe,3
541516,22804,CANDLEHOLDER PINK HANGING HEART,4,2.46,United Kingdom,2011-01-18,17,1,1,9.84,Europe,1
544450,84836,ZINC METAL HEART DECORATION,3,1.25,United Kingdom,2011-02-20,12,2,6,3.75,Europe,3
578827,22197,POPCORN HOLDER,4,1.63,United Kingdom,2011-11-25,14,11,4,6.52,Europe,0
571912,23466,TUSCAN VILLA DOVECOTE BIRD FEEDER,2,8.25,United Kingdom,2011-10-19,15,10,2,16.5,Europe,2
544462,22652,TRAVEL SEWING KIT,4,1.65,United Kingdom,2011-02-20,14,2,6,6.6,Europe,3
C555328,22768,FAMILY PHOTO FRAME CORNICE,-2,9.95,United Kingdom,2011-06-02,11,6,3,-19.9,Europe,3
574476,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,0.85,United Kingdom,2011-11-04,12,11,4,0.85,Europe,0
549319,22296,HEART IVORY TRELLIS LARGE,12,1.65,United Kingdom,2011-04-08,10,4,4,19.799999999999997,Europe,3
544293,84988,SET OF 72 PINK HEART PAPER DOILIES,2,1.45,United Kingdom,2011-02-17,12,2,3,2.9,Europe,1
564553,23294,SET OF 6 SNACK LOAF BAKING CASES,1,0.83,United Kingdom,2011-08-25,18,8,3,0.83,Europe,0
551004,DOT,DOTCOM POSTAGE,1,176.71,United Kingdom,2011-04-26,9,4,1,176.71,Europe,1
540258,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,96,2.55,United Kingdom,2011-01-06,8,1,3,244.79999999999998,Europe,3
575607,21899,GARAGE KEY FOB,2,1.63,United Kingdom,2011-11-10,12,11,3,3.26,Europe,0
551012,47559b,TEA TIME OVEN GLOVE,11,3.29,United Kingdom,2011-04-26,10,4,1,36.19,Europe,1
548984,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.55,United Kingdom,2011-04-05,12,4,1,15.299999999999999,Europe,1
572033,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,1.25,United Kingdom,2011-10-20,11,10,3,15.0,Europe,0
558087,22820,GIFT BAG BIRTHDAY,12,0.65,United Kingdom,2011-06-26,12,6,6,7.800000000000001,Europe,3
580612,22367,CHILDRENS APRON SPACEBOY DESIGN,2,4.96,United Kingdom,2011-12-05,11,12,0,9.92,Europe,2
544676,22995,TRAVEL CARD WALLET SUKI,2,0.42,United Kingdom,2011-02-22,16,2,1,0.84,Europe,1
536531,22191,IVORY DINER WALL CLOCK,4,8.5,United Kingdom,2010-12-01,13,12,2,34.0,Europe,2
554139,20749,ASSORTED COLOUR MINI CASES,4,7.95,EIRE,2011-05-23,10,5,0,31.8,Europe,1
550836,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.55,United Kingdom,2011-04-21,10,4,3,15.299999999999999,Europe,1
543193,22138,BAKING SET 9 PIECE RETROSPOT ,6,4.95,United Kingdom,2011-02-04,12,2,4,29.700000000000003,Europe,1
573328,46000M,POLYESTER FILLER PAD 45x45cm,12,1.55,United Kingdom,2011-10-30,11,10,6,18.6,Europe,3
573093,22549,PICTURE DOMINOES,1,1.45,United Kingdom,2011-10-27,14,10,3,1.45,Europe,0
570272,21485,RETROSPOT HEART HOT WATER BOTTLE,3,4.95,United Kingdom,2011-10-10,10,10,0,14.850000000000001,Europe,2
575930,22944,CHRISTMAS METAL POSTCARD WITH BELLS,12,0.97,United Kingdom,2011-11-11,17,11,4,11.64,Europe,0
575333,23528,SPACEBOY WALL ART,6,3.75,United Kingdom,2011-11-09,13,11,2,22.5,Europe,2
567339,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24,0.55,United Kingdom,2011-09-19,15,9,0,13.200000000000001,Europe,2
576339,23188,VINTAGE  2 METRE FOLDING RULER,1,3.29,United Kingdom,2011-11-14,15,11,0,3.29,Europe,2
540907,84836,ZINC METAL HEART DECORATION,12,1.25,United Kingdom,2011-01-12,11,1,2,15.0,Europe,1
550632,21908,CHOCOLATE THIS WAY METAL SIGN,2,2.1,United Kingdom,2011-04-19,14,4,1,4.2,Europe,1
578781,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,1,1.25,United Kingdom,2011-11-25,11,11,4,1.25,Europe,0
561209,22539,MINI JIGSAW DOLLY GIRL,1,0.83,United Kingdom,2011-07-25,16,7,0,0.83,Europe,2
563095,23209,LUNCH BAG VINTAGE DOILY ,20,1.65,United Kingdom,2011-08-12,9,8,4,33.0,Europe,3
566267,23295,SET OF 12 MINI LOAF BAKING CASES,8,0.83,Germany,2011-09-11,13,9,6,6.64,Europe,3
565427,22728,ALARM CLOCK BAKELIKE PINK,2,3.75,United Kingdom,2011-09-04,12,9,6,7.5,Europe,3
578479,23120,PACK OF 6 SMALL FRUIT STRAWS,3,0.42,United Kingdom,2011-11-24,12,11,3,1.26,Europe,0
572613,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2.95,United Kingdom,2011-10-25,11,10,1,17.700000000000003,Europe,2
549291,22983,CARD BILLBOARD FONT,12,0.42,United Kingdom,2011-04-07,19,4,3,5.04,Europe,1
577477,23355,HOT WATER BOTTLE KEEP CALM,4,4.95,United Kingdom,2011-11-20,11,11,6,19.8,Europe,3
569897,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,4,0.42,United Kingdom,2011-10-06,16,10,3,1.68,Europe,0
561430,10133,COLOURING PENCILS BROWN TUBE,20,0.42,United Kingdom,2011-07-27,11,7,2,8.4,Europe,2
553387,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,1.63,United Kingdom,2011-05-16,16,5,0,1.63,Europe,1
538371,22576,SWALLOW WOODEN CHRISTMAS DECORATION,9,0.85,United Kingdom,2010-12-12,11,12,6,7.6499999999999995,Europe,3
538379,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2.95,United Kingdom,2010-12-12,11,12,6,2.95,Europe,3
579777,23551,PACK OF 12 PAISLEY PARK TISSUES ,3,0.83,United Kingdom,2011-11-30,15,11,2,2.4899999999999998,Europe,2
541485,84970S,HANGING HEART ZINC T-LIGHT HOLDER,1,0.85,United Kingdom,2011-01-18,13,1,1,0.85,Europe,1
548708,21232,STRAWBERRY CERAMIC TRINKET BOX,7,1.25,United Kingdom,2011-04-03,12,4,6,8.75,Europe,3
